
Country,User Answer,Correct Answer,Result
Germany,l,Berlin,Wrong
Mexico,,Mexico City,Wrong
United States,l,Washington DC,Wrong
Australia,l,Canberra,Wrong
South Korea,l,Seoul,Wrong
Bandladesh,l,Dhaka,Wrong
North Korea,l,Pyongyang,Wrong
Ukraine,g,Kiev,Wrong
France,g,Paris,Wrong
Japan,g,Tokyo,Wrong
United Kingdom,g,London,Wrong
New Zealand,f,Wellington,Wrong
Egypt,f,Cairo,Wrong
China,f,Beijing,Wrong
Brazil,f,Brasilia,Wrong
United Arab Emirates,f,Abu Dhabi,Wrong
Sweden,f,Stockholm,Wrong
India,f,New Delhi,Wrong
Russia,f,Moscow,Wrong
Canada,f,Ottawa,Wrong

Country,User Answer,Correct Answer,Result
United Arab Emirates,Abu Dhabi,Abu Dhabi,Correct
North Korea,Pyongyang,Pyongyang,Correct
Germany,Berlin,Berlin,Correct
India,New Delhi,New Delhi,Correct
Italy,Rome,Rome,Correct
Brazil,Brasilia,Brasilia,Correct
Bandladesh,Dhaka,Dhaka,Correct
Ukraine,Kiev,Kiev,Correct
Egypt,,Cairo,Wrong
United States,Washington DC,Washington DC,Correct
Japan,Tokyo,Tokyo,Correct
Mexico,Mexico City,Mexico City,Correct
Canada,Ottawa,Ottawa,Correct
Russia,Moscow,Moscow,Correct
South Korea,Seoul,Seoul,Correct
Australia,Canberra,Canberra,Correct
United Kingdom,London,London,Correct
France,Paris,Paris,Correct
Sweden,Stockholm,Stockholm,Correct
China,Beijing,Beijing,Correct

Country,User Answer,Correct Answer,Result
Egypt,idk lol,Cairo,Wrong
France,Paris,Paris,Correct
Russia,,Moscow,Wrong
China,,Beijing,Wrong
Italy,,Rome,Wrong
United States,,Washington DC,Wrong
United Arab Emirates,,Abu Dhabi,Wrong
North Korea,,Pyongyang,Wrong
South Korea,,Seoul,Wrong
Sweden,,Stockholm,Wrong
Canada,,Ottawa,Wrong
Brazil,,Brasilia,Wrong
Ukraine,,Kiev,Wrong
New Zealand,,Wellington,Wrong
Bandladesh,,Dhaka,Wrong
India,,New Delhi,Wrong
Japan,,Tokyo,Wrong
United Kingdom,,London,Wrong
Australia,,Canberra,Wrong
Mexico,,Mexico City,Wrong

"Username,Country",User Answer,Correct Answer,Result
csvtest1,South Korea,Seoul,Seoul,Correct
csvtest1,New Zealand,Wellington,Wellington,Correct
csvtest1,Italy,Rome,Rome,Correct
csvtest1,Bandladesh,Dhaka,Dhaka,Correct
csvtest1,India,New Delhi,New Delhi,Correct
csvtest1,United Kingdom,London,London,Correct
csvtest1,United Arab Emirates,Abu Dabhi,Abu Dhabi,Wrong
csvtest1,Japan,Tokyo,Tokyo,Correct
csvtest1,Sweden,Stockholm,Stockholm,Correct
csvtest1,Australia,Canberra,Canberra,Correct
csvtest1,Brazil,Brasilia,Brasilia,Correct
csvtest1,Germany,Berlin,Berlin,Correct
csvtest1,Russia,Moscow,Moscow,Correct
csvtest1,Canada,Ottawa,Ottawa,Correct
csvtest1,China,Beijing,Beijing,Correct
csvtest1,Ukraine,Kiev,Kiev,Correct
csvtest1,North Korea,Seoul,Pyongyang,Wrong
csvtest1,France,Paris,Paris,Correct
csvtest1,United States,Washington DC,Washington DC,Correct
csvtest1,Egypt,idk lmao,Cairo,Wrong

"Username,Country",User Answer,Correct Answer,Result

csvtest2,Russia,Moscow,Moscow,Correct
csvtest2,United States,Washington DC,Washington DC,Correct
csvtest2,United Arab Emirates,Abu Dhabi,Abu Dhabi,Correct
csvtest2,Brazil,Brasilia,Brasilia,Correct
csvtest2,Australia,Canberra,Canberra,Correct
csvtest2,South Korea,Seoul,Seoul,Correct
csvtest2,New Zealand,Washington,Wellington,Wrong
csvtest2,Italy,Rome,Rome,Correct
csvtest2,Japan,Tokyo,Tokyo,Correct
csvtest2,United Kingdom,Londojn,London,Wrong
csvtest2,China,Beijing,Beijing,Correct
csvtest2,North Korea,Pyongyang,Pyongyang,Correct
csvtest2,France,Paris,Paris,Correct
csvtest2,Canada,Ottawa,Ottawa,Correct
csvtest2,India,New Delhi,New Delhi,Correct
csvtest2,Sweden,Stockholm,Stockholm,Correct
csvtest2,Mexico,Mexico City,Mexico City,Correct
csvtest2,Germany,Berlin,Berlin,Correct
csvtest2,Egypt,idk,Cairo,Wrong
csvtest2,Bandladesh,Dhaka,Dhaka,Correct

Username,Country,User Answer,Correct Answer,Result

